Conceito Médio de Graduação;Conceito Médio de Mestrado;Conceito Médio do doutorado;DOC. EXERCÍCIO;Cotitular_Sistema_S;Cotitular_Unidades_Centros_Pesquisa;Cotitular_Orgao_Publico;Cotitular_Pessoa_Fisica;Cotitular_Empresa_Parc_Estrangeiro;Cotitular_Entidade_Privada;Cotitular_Empresa_Pública_SEM;Cotitular_Empresa_Privada;Cotitular_Agencia_Fomento;ÁREA DE CONHECIMENTO DE ORIGEM;Região;Houve TT?
#N/D;#N/D;#N/D;607;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9159;3,9198;2,4568;745;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,8208;3,8714;2,4238;741;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,8208;3,8714;2,4238;741;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7563;3,7997;2,3764;726;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7563;3,7997;2,3764;726;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7563;3,7997;2,3764;726;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7563;3,7997;2,3764;726;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7371;4,4262;4,754;812;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sul;NÃO
2,7371;4,4262;4,754;812;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7371;4,4262;4,754;812;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7371;4,4262;4,754;812;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7371;4,4262;4,754;812;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Engenharias;Sul;NÃO
2,7723;4,4252;4,764;865;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7723;4,4252;4,764;865;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sul;NÃO
2,7599;4,3797;4,7527;895;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sul;NÃO
2,7599;4,3797;4,7527;895;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7599;4,3797;4,7527;895;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7599;4,3797;4,7527;895;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,9159;3,9198;2,4568;745;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Biológicas;Sul;NÃO
2,8208;3,8714;2,4238;741;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
2,7563;3,7997;2,3764;726;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7371;4,4262;4,754;812;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
2,7599;4,3797;4,7527;895;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Ciências Biológicas;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Engenharias;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7371;4,4262;4,754;812;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7723;4,4252;4,764;865;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Sul;NÃO
2,9406;4,4219;4,7836;921;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sul;NÃO
#N/D;#N/D;#N/D;879;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7723;4,4252;4,764;865;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Sul;NÃO
2,7723;4,4252;4,764;865;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,7555;4,005;2,6402;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
#N/D;#N/D;#N/D;779;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
2,9117;4,3983;4,7212;875;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
